id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
348,Prader-Willi Syndrome,National Institute of Child Health and Human Development,Mental Health and Behavior,Prader-Willi Syndrome,[]
349,Psychological Stress,National Institute of Mental Health,Mental Health and Behavior,Stress,"[u'What is Broken Heart Syndrome', u'Adjustment disorder', u'Help your teen cope with stress', u'Learn to manage stress', u'Overcoming job stress', u'Relaxation techniques for stress', u'Stress and your health', u'Stress and your heart', u'Stress in childhood', u'Anxiety', u'Mental Health', u'Post-Traumatic Stress Disorder']"
350,Psychotic Disorders,National Institute of Mental Health,Mental Health and Behavior,Psychotic Disorders,"[u'Postpartum Psychosis', u'Schizoaffective Disorder', u'Schizophrenia: MedlinePlus Health Topic', u'Brief psychotic disorder', u'Electroconvulsive therapy', u'Hallucinations', u'Major depression with psychotic features', u'Mental status testing', u'Psychosis', u'Schizoaffective disorder', u'Mental Disorders', u'Schizophrenia']"
351,SAD,National Institute of Mental Health,Mental Health and Behavior,Seasonal Affective Disorder,[]
352,Schizophrenia,National Institute of Mental Health,Mental Health and Behavior,Schizophrenia,"[u'Schizoaffective Disorder', u'Hallucinations', u'Mental status testing', u'Schizoaffective disorder', u'Schizophrenia']"
353,Suicide,National Institute of Mental Health,Mental Health and Behavior,Suicide,"[u'Holiday Suicides: Fact or Myth?', u'Suicide and PTSD', u'Teen Suicide', u'Suicide and suicidal behavior', u'Depression']"
354,Adrenoleukodystrophy,National Institute of Neurological Disorders and Stroke,Metabolic Problems,Leukodystrophies,"[u'4H Syndrome', u'Adrenoleukodystrophy', u'Adrenoleukodystrophy (ALD)', u'Adrenomyeloneuropathy (AMN)', u'Aicardi-Goutieres Syndrome Disorder', u'Alexander Disease', u'CADASIL', u'Canavan Disease', u'Cerebral Autosomal Dominant Arteriopathy with Subcortical Infacts and Leukoencephalopathy (CADASIL)', u'Cerebrotendinous Xanthomatosis (CTX)', u'Krabbe Disease', u'Krabbe Disease', u'Megalencephalic Leukoencephalopathy with Subcortical Cysts (MLC)', u'Metachromatic Leukodystrophy', u'Pelizaeus-Merzbacher Disease', u'Refsum Disease', u'Sjogren-Larsson Syndrome', u'Types of Leukodystrophies', u'Vanishing White Matter Disease', u'Zellweger Spectrum', u'Zellweger Syndrome', u'Adrenoleukodystrophy', u'Canavan disease', u'Krabbe disease', u'Metachromatic leukodystrophy', u'Degenerative Nerve Diseases']"
355,Amino Acid Metabolism Disorders,,Metabolic Problems,Amino Acid Metabolism Disorders,"[u'Hyperoxaluria', u'Alkaptonuria', u'Amino acids', u'Hartnup disorder', u'Methylmalonic acid blood test', u'Methylmalonic acidemia', u'Plasma amino acids', u'Carbohydrate Metabolism Disorders', u'Dietary Proteins', u'Lipid Metabolism Disorders', u'Metabolic Disorders']"
356,Amyloidosis,,Metabolic Problems,Amyloidosis,"[u'Cardiac Amyloidosis', u'Abdominal wall fat pad biopsy', u'Cardiac amyloidosis', u'Carpal tunnel biopsy', u'Cerebral amyloid angiopathy', u'Hereditary amyloidosis', u'Primary amyloidosis', u'Secondary systemic amyloidosis', u'Metabolic Disorders']"
357,Bariatric Surgery,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Weight Loss Surgery,"[u'Bariatric Surgery Procedures', u'Blind loop syndrome', u'Diet after gastric banding', u'Gastric bypass surgery', u'Gastric bypass surgery - discharge', u'Laparoscopic gastric banding', u'Laparoscopic gastric banding - discharge', u'Vertical sleeve gastrectomy', u'Weight-loss surgery - after - what to ask your doctor', u'Weight-loss surgery - before - what to ask your doctor', u'Your diet after gastric bypass surgery', u'Obesity', u'Weight Control']"
358,Blood Glucose,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Blood Sugar,"[u'Diabetes and Exercise: When to Monitor Your Blood Sugar', u'A1C test', u'Blood sugar test - blood', u'Glucose screening and tolerance tests during pregnancy', u'Glucose urine test', u'Glycemic index and diabetes', u'Home blood sugar testing', u'Managing your blood sugar', u'Monitor blood glucose - slideshow', u'A1C', u'Carbohydrates', u'Diabetes', u'Diabetes Medicines', u'Diabetic Diet', u'Hyperglycemia', u'Hypoglycemia']"
359,BMI,"National Heart, Lung, and Blood Institute",Metabolic Problems,Body Weight,"[u'About BMI for Adults', u'Health Risks of Being Overweight?', u'Preventing Weight Gain', u'Unexplained Weight Loss', u'What Are Overweight and Obesity?', u'Body mass index', u'Growth chart', u'Overweight', u'Weight gain - unintentional', u'Weight loss - unintentional', u'Malnutrition', u'Obesity', u'Obesity in Children', u'Weight Control']"
360,"Brain Disorders, Inborn Genetic",National Institute of Neurological Disorders and Stroke,Metabolic Problems,Genetic Brain Disorders,"[u'Aicardi Syndrome', u""Alpers' Disease"", u'Batten Disease', u'Batten Disease', u'Fabry Disease', u""Fahr's Syndrome"", u'Gerstmann-Straussler-Scheinker Disease', u""Leigh's Disease"", u'Lesch-Nyhan Syndrome', u'Menkes Disease', u'Menkes Disease', u'Moyamoya Disease', u'Niemann-Pick Disease', u'What Is a Urea Cycle Disorder?', u'What Is Batten Disease', u'Zellweger Syndrome', u'Lesch-Nyhan syndrome', u'Maple syrup urine disease', u'Menkes syndrome', u'Neuronal ceroid lipofuscinoses (NCLS)', u'Niemann-Pick disease', u'Amino Acid Metabolism Disorders', u'Carbohydrate Metabolism Disorders', u'Cerebellar Disorders', u'Genetic Disorders', u'Genetic Testing', u'Leukodystrophies', u'Lipid Metabolism Disorders', u'Metabolic Disorders', u'Mitochondrial Diseases', u'Phenylketonuria', u'Tay-Sachs Disease', u'Wilson Disease']"
361,Carbohydrate Metabolism Disorders,,Metabolic Problems,Carbohydrate Metabolism Disorders,"[u'Diabetes: MedlinePlus Health Topic', u'Galactosemia', u'Hunter Syndrome', u'Hurler Syndrome', u'MPS (Mucopolysaccharidoses) and Related Diseases', u'Mucopolysaccharidoses', u'Mucopolysaccharidoses', u'Pompe Disease', u'Type I Glycogen Storage Disease', u'Acid mucopolysaccharides', u'Galactose-1-phospate uridyltransferase', u'Galactosemia', u'Hereditary fructose intolerance', u'Hunter syndrome', u'Hurler syndrome', u'McArdle syndrome', u'Morquio syndrome', u'Sanfilippo syndrome', u'Scheie syndrome', u'Von Gierke disease', u'Amino Acid Metabolism Disorders', u'Carbohydrates', u'Lactose Intolerance', u'Lipid Metabolism Disorders', u'Metabolic Disorders']"
362,Celiac Disease,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Celiac Disease,"[u'Dermatitis Herpetiformis', u'Poorly Responsive Celiac Disease', u'Albumin - blood (serum) test', u'Celiac disease - nutritional considerations', u'Celiac disease - sprue', u'D-xylose absorption', u'Dermatitis herpetiformis', u'Fecal fat', u'Learn about gluten-free diets', u'Gluten Sensitivity']"
363,Childhood Obesity,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Obesity in Children,"[u'Childhood Obesity Causes & Consequences', u'Obesity in Infants to Preschoolers', u'Organic Causes of Weight Gain and Obesity', u'Weighty Issues for Kids: Taking Aim at Childhood Obesity', u'Growth chart', u'Obesity in children', u'Body Weight', u'Child Nutrition', u'Obesity', u'Weight Control']"
364,Copper Storage Disease,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Wilson Disease,"[u'24-hour urine copper test', u'Ceruloplasmin', u'Wilson disease']"
365,Dehydration,,Metabolic Problems,Dehydration,"[u'Dehydration', u'Thirst - absent', u'Thirst - excessive', u'Diarrhea', u'Fluid and Electrolyte Balance', u'Heat Illness', u'Nausea and Vomiting']"
366,Diabetes,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Diabetes,"[u'A1C test', u'ACE blood test', u'Anti-insulin antibody test', u'Blood sugar test - blood', u'Diabetes', u'Diabetes - keeping active', u'Diabetes - low blood sugar - self-care', u'Diabetes - tests and checkups', u'Diabetes - when you are sick', u'Diabetes and exercise', u'Giving an insulin injection', u'Glucose tolerance test - non-pregnant', u'Glucose urine test', u'High blood sugar', u'Immunizations - diabetes', u'Insulin C-peptide', u'Ketones urine test', u'Lactic acidosis', u'Preparing for surgery when you have diabetes', u'Serum ketones test', u'A1C', u'Blood Sugar', u'Diabetes and Pregnancy', u'Diabetes Complications', u'Diabetes in Children and Teens', u'Diabetes Medicines', u'Diabetes Type 1', u'Diabetes Type 2', u'Diabetic Diet', u'Diabetic Eye Problems', u'Diabetic Foot', u'Diabetic Heart Disease', u'Diabetic Kidney Problems', u'Diabetic Nerve Problems', u'Hyperglycemia', u'Hypoglycemia', u'Islet Cell Transplantation', u'Pancreas Transplantation', u'Prediabetes']"
367,Diabetes Complications,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Diabetes Complications,"[u'Bone and Joint Problems Associated with Diabetes', u'Diabetes and Sexual and Urologic Problems', u'Diabetes, Heart Disease, and Stroke', u'Diabetic Coma', u'Diabetic Hypoglycemia', u'Diabetic Ketoacidosis', u'Gastroparesis', u'High Blood Pressure (Hypertension)', u'Hyperglycemia in Diabetes', u'Skin Complications', u'Diabetes - preventing heart attack and stroke', u'Diabetic hyperglycemic hyperosmolar syndrome', u'Diabetic ketoacidosis', u'Gastroparesis', u'Ketones urine test', u'Long term complications of diabetes', u'Potassium urine test', u'Serum ketones test', u'Diabetes', u'Diabetes and Pregnancy', u'Diabetes in Children and Teens', u'Diabetes Type 1', u'Diabetes Type 2', u'Diabetic Eye Problems', u'Diabetic Foot', u'Diabetic Heart Disease', u'Diabetic Kidney Problems', u'Diabetic Nerve Problems']"
368,Diabetes Insipidus,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Diabetes Insipidus,"[u'Antidiuretic hormone blood test', u'Diabetes insipidus', u'Diabetes insipidus - central', u'Diabetes insipidus - nephrogenic', u'Thirst - excessive', u'Urine 24-hour volume', u'Urine concentration test', u'Pituitary Disorders']"
369,Gaucher Disease,National Institute of Neurological Disorders and Stroke,Metabolic Problems,Gaucher Disease,[]
370,Hemochromatosis,"National Heart, Lung, and Blood Institute",Metabolic Problems,Hemochromatosis,"[u'What Causes Hemochromatosis?', u'Ferritin blood test', u'Hemochromatosis', u'Serum iron test', u'Synovial biopsy', u'Iron']"
371,High Blood Glucose,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Hyperglycemia,"[u'Diabetic hyperglycemic hyperosmolar syndrome', u'Diabetic ketoacidosis', u'High blood sugar', u'Hyperglycemia - infants', u'Ketones urine test', u'Serum ketones test', u'Blood Sugar']"
372,Hypoglycemia,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Hypoglycemia,"[u'Diabetic Hypoglycemia', u'Hypoglycemia (Low Blood Sugar) in Diabetes Mellitus', u'Is Hyperinsulinemia a Form of Diabetes?', u'Nondiabetic Hypoglycemia', u'Reactive Hypoglycemia', u'Diabetes - low blood sugar - self-care', u'Drug-induced hypoglycemia', u'Glucagon blood test', u'Insulin C-peptide', u'Low blood sugar', u'Low blood sugar - newborns', u'Blood Sugar', u'Diabetes']"
373,Insulin Resistance,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Metabolic Syndrome,"[u'Metabolic syndrome', u'Angina', u'Cholesterol', u'Diabetes', u'Heart Diseases', u'Metabolic Disorders', u'Obesity', u'Prediabetes']"
374,Lactose Intolerance,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Lactose Intolerance,"[u'Lactose intolerance', u'Lactose tolerance tests', u'Food Allergy']"
375,Lipid Metabolism Disorders,,Metabolic Problems,Lipid Metabolism Disorders,"[u'Acid Lipase Disease', u'Barth Syndrome (BTHS)', u'Fabry Disease', u""Farber's Disease"", u'Gangliosidoses', u'Gaucher Disease: MedlinePlus Health Topic', u'Niemann-Pick Disease', u'Tay-Sachs Disease: MedlinePlus Health Topic', u'Bassen-Kornzweig syndrome', u'Chylomicronemia syndrome', u'Familial lipoprotein lipase deficiency', u'Methylmalonic acid blood test', u'Methylmalonic acidemia', u'Niemann-Pick disease', u'Xanthoma', u'Amino Acid Metabolism Disorders', u'Carbohydrate Metabolism Disorders', u'Dietary Fats', u'Metabolic Disorders']"
376,Metabolic Disorders,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Metabolic Disorders,"[u'Learning about Trimethylaminuria', u'Lesch-Nyhan Syndrome', u'Metabolic Diseases of Muscle', u'Mucolipidoses', u'Mucolipidoses', u'What Is a Urea Cycle Disorder?', u'Acidosis', u'Alkalosis', u'Blood gases', u'Crigler-Najjar syndrome', u'Dementia due to metabolic causes', u'Hereditary urea cycle abnormality', u'Homocystinuria', u'Inborn errors of metabolism', u'Lactic acid test', u'Lesch-Nyhan syndrome', u'Metabolic acidosis', u'Metabolic neuropathies', u'Pseudohypoparathyroidism', u'Transient familial hyperbilirubinemia', u'Urine odor', u'Amino Acid Metabolism Disorders', u'Amyloidosis', u'Carbohydrate Metabolism Disorders', u'G6PD Deficiency', u'Gaucher Disease', u'Genetic Brain Disorders', u'Hemochromatosis', u'Lipid Metabolism Disorders', u'Malabsorption Syndromes', u'Mitochondrial Diseases', u'Phenylketonuria', u'Porphyria', u'Rickets', u'Wilson Disease']"
377,Mitochondrial Diseases,,Metabolic Problems,Mitochondrial Diseases,"[u""Alpers' Disease"", u'Barth Syndrome (BTHS)', u'Overview of Barth Syndrome', u'Antimitochondrial antibody', u'Amino Acid Metabolism Disorders', u'Carbohydrate Metabolism Disorders', u'Lipid Metabolism Disorders', u'Metabolic Disorders']"
378,Obesity,National Institute of Diabetes and Digestive and Kidney Diseases,Metabolic Problems,Obesity,"[u'Adult Obesity Causes & Consequences', u'Health Risks of Being Overweight?', u'Mind/Body Health: Obesity', u'Obesity Hypoventilation Syndrome', u'Treating Obesity As a Disease', u'Understanding Adult Overweight and Obesity', u'What Are the Health Risks of Overweight and Obesity?', u'What Causes Overweight and Obesity?', u'Body mass index', u'Health risks of obesity', u'Obesity', u'Obesity hypoventilation syndrome (OHS)', u'Body Weight', u'Obesity in Children', u'Weight Control', u'Weight Loss Surgery']"
379,Phenylketonuria,National Institute of Child Health and Human Development,Metabolic Problems,Phenylketonuria,"[u'Phenylketonuria', u'Serum phenylalanine screening', u'Genetic Disorders', u'Newborn Screening']"
380,Rickets,NIH Office of Dietary Supplements,Metabolic Problems,Rickets,[u'Vitamin D Deficiency']
381,Air Pollution,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Air Pollution,"[u'Acid Rain', u'Particle Pollution', u'Particulate Matter (PM) Pollution', u'Transportation, Air Pollution, and Climate Change', u'Volcanic Gas', u'Lung problems and volcanic smog', u'Environmental Health', u'Indoor Air Pollution', u'Ozone']"
382,Arsenic,,"Poisoning, Toxicology, Environmental Health",Arsenic,[]
383,Asbestos,National Cancer Institute,"Poisoning, Toxicology, Environmental Health",Asbestos,"[u'Asbestos and Cancer Risk', u'Asbestos Exposure and Cancer Risk', u'Asbestosis', u'What Are Asbestos-Related Lung Diseases?', u'Asbestosis', u'Mesothelioma']"
384,Biodefense and Bioterrorism,National Institute of Allergy and Infectious Diseases,"Poisoning, Toxicology, Environmental Health",Biodefense and Bioterrorism,"[u'Abrin', u'Arsine', u'Chlorine', u'Cyanide', u'Key Facts about Tularemia', u'Lewisite', u'Nitrogen Mustards', u'Phosgene', u'Ricin', u'Riot Control Agents', u'Sarin', u'Sodium Azide', u'Soman', u'Strychnine', u'Sulfur Mustard', u'Tabun', u'VX', u'Tularemia', u'Anthrax', u'Botulism', u'Chemical Emergencies', u'Coping with Disasters', u'Disaster Preparation and Recovery', u'Ebola', u'Hemorrhagic Fevers', u'Immunization', u'Infectious Diseases', u'Plague', u'Smallpox']"
385,Carbon Monoxide Poisoning,,"Poisoning, Toxicology, Environmental Health",Carbon Monoxide Poisoning,"[u'Tox Town', u'Carbon monoxide poisoning', u'Hemoglobin derivatives', u'Hyperbaric oxygen therapy']"
386,Cell Phones,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Electromagnetic Fields,"[u'Cell Phones', u'Cellular Phone Towers', u'Electromagnetic Fields and Public Health: Mobile Phones', u'Frequently Asked Questions about Cell Phones and Your Health', u'Health Issues: Do Cell Phones Pose a Health Hazard?', u'Microwave Ovens', u'Cell phones - do they cause cancer?']"
387,Cleaning Products,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Household Products,"[u'What You Should Know about Using Paint Strippers', u'Acetone poisoning', u'Ammonia poisoning', u'Copper poisoning', u'Detergent poisoning', u'Drain cleaner poisoning', u'Drain opening agents', u'Gasoline poisoning', u'Kerosene poisoning', u'Lighter fluid poisoning', u'Oven cleaner poisoning', u'Toilet bowl cleaners and deodorizers poisoning', u'Child Safety', u'Cosmetics', u'Indoor Air Pollution', u'Pesticides', u'Poisoning']"
388,Climate Change,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Climate Change,[]
389,Drinking Water,,"Poisoning, Toxicology, Environmental Health",Drinking Water,"[u'Bottled Water Everywhere: Keeping it Safe', u'Giardia and Drinking Water from Private Wells', u'Parasites: Water', u'Water on Tap: What You Need to Know', u'Asbestos', u'Cryptosporidiosis', u'E. Coli Infections', u'Food Safety', u'Foodborne Illness', u'Giardia Infections', u'Lead Poisoning', u'Parasitic Diseases', u""Traveler's Health"", u'Water Pollution']"
390,Environmental Health,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Environmental Health,"[u'Acid Rain', u'Bisphenol A', u'Environmental Factors and Breast Cancer Risk', u'ToxGuides: Quick Reference Pocket Guide for Toxicological Profiles', u'Transportation, Air Pollution, and Climate Change', u'Air Pollution', u'Drinking Water', u'Electromagnetic Fields', u'Hazardous Waste', u'Indoor Air Pollution', u'Molds', u'Noise', u'Occupational Health', u'Oil Spills', u'Pesticides', u'Radiation Exposure', u'Water Pollution']"
391,Environmental Tobacco Smoke,National Cancer Institute,"Poisoning, Toxicology, Environmental Health",Secondhand Smoke,"[u'Smoking and asthma', u'Smokeless Tobacco', u'Smoking']"
392,Food Poisoning,National Institute of Allergy and Infectious Diseases,"Poisoning, Toxicology, Environmental Health",Foodborne Illness,"[u'Amnesic Shellfish Poisoning', u'CDC Vital Signs: Recipe for Food Safety', u'Ciguatera Fish Poisoning', u'Norovirus', u'Parasites and Foodborne Illness', u'Shigellosis', u'Trichinellosis (also known as Trichinosis) FAQs', u'Vibrio parahaemolyticus', u'Vibrio vulnificus', u'Amebiasis', u'Fecal culture', u'Food poisoning', u'Food poisoning prevention', u'Gastritis', u'Poisoning - fish and shellfish', u'Shigellosis', u'Stool Gram stain', u'Botulism', u'Campylobacter Infections', u'Drinking Water', u'E. Coli Infections', u'Food Safety', u'Hepatitis A', u'Listeria Infections', u'Salmonella Infections']"
393,Food Safety,,"Poisoning, Toxicology, Environmental Health",Food Safety,"[u'Color of Meat and Poultry', u'Food Safety and Raw Milk', u'Fresh and Frozen Seafood: Selecting and Serving It Safely', u'Ground Beef and Food Safety', u'Perchlorate Questions and Answers', u'Questions and Answers: Apple Juice and Arsenic', u'Safe Minimum Internal Temperature Chart', u'Shelf-Stable Food Safety', u'Tips to Prevent Illness from Clostridium Perfringens', u'Aflatoxin', u'Cooking utensils and nutrition', u'Food safety', u'Genetically engineered foods', u'Preventing food poisoning', u'Creutzfeldt-Jakob Disease', u'Foodborne Illness']"
394,Fungicides,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Pesticides,"[u'Antimicrobial Pesticides', u'Biopesticides', u'Pesticides and Human Health', u'Bug spray poisoning', u'Cholinesterase - blood', u'Diazinon poisoning', u'Grass and weed killer poisoning', u'Insecticide poisoning', u'Malathion poisoning', u'Paradichlorobenzene poisoning', u'Paraquat poisoning', u'Pesticides', u'Food Safety', u'Household Products']"
395,Gulf Oil Spill,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Oil Spills,[]
396,Hazardous Waste,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Hazardous Waste,"[u'Best Way to Get Rid of Used Needles and Other Sharps', u'Household Hazardous Waste', u'Safe Disposal of Pesticides', u'Volatile Organic Compounds (VOCs)', u'Hazardous materials', u'Environmental Health']"
397,Indoor Air Pollution,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Indoor Air Pollution,"[u'Volatile Organic Compounds (VOCs)', u'Air Pollution', u'Asbestos', u'Asthma', u'Carbon Monoxide Poisoning', u'Lead Poisoning', u'Molds', u'Pesticides', u'Radon', u'Secondhand Smoke']"
398,Lead Poisoning,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Lead Poisoning,"[u'Basic Information about Lead in Drinking Water', u'Kohl, Kajal, Al-Kahl, or Surma: By Any Name, Beware of Lead Poisoning', u'Lead (Pb) Air Pollution', u'Delta-ALA urine test', u'Lead - nutritional considerations', u'Lead levels - blood', u'Lead poisoning']"
399,Mercury,National Institute of Neurological Disorders and Stroke,"Poisoning, Toxicology, Environmental Health",Mercury,"[u'Mercury Poisoning Linked to Skin Products', u'Should I Be Concerned about Eating Fish and Shellfish?', u'Mercuric chloride poisoning', u'Mercuric oxide poisoning', u'Mercury', u'Methylmercury poisoning']"
400,Molds,,"Poisoning, Toxicology, Environmental Health",Molds,"[u'Facts about Stachybotrys chartarum and Other Molds', u'Aflatoxin', u'Allergies, asthma, and molds', u'Hypersensitivity pneumonitis', u'Aspergillosis', u'Fungal Infections', u'Histoplasmosis', u'Valley Fever']"
401,Noise,National Institute on Deafness and Other Communication Disorders,"Poisoning, Toxicology, Environmental Health",Noise,"[u'Acoustic trauma', u'Hearing loss and music', u'Hearing Disorders and Deafness', u'Occupational Health']"
402,Ozone,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Ozone,[]
403,Pfiesteria Infections,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Water Pollution,"[u'Acid Rain', u'Harmful Algal Blooms (HABs)', u'Human Health at the Beach', u'Cryptosporidiosis', u'Drinking Water', u'Environmental Health', u'Foodborne Illness', u'Oil Spills', u'Water Safety (Recreational)']"
404,Poisoning,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Poisoning,"[u'Alcohol Poisoning', u'Chemical Emergency', u'Cyanide', u'Facts about Benzene', u'In Case of Pesticide Emergency', u'Strychnine', u'Ammonia poisoning', u'Black nightshade poisoning', u'Blue nightshade poisoning', u'Bug spray poisoning', u'Caladium plant poisoning', u'Calla lily', u'Castor oil overdose', u'Copper poisoning', u'Detergent poisoning', u'Dieffenbachia poisoning', u'Dirt - swallowing', u'Drain cleaner poisoning', u'Drain opening agents', u'Elephant ear', u'Ethanol poisoning', u'Ethylene glycol blood test', u'Ethylene glycol poisoning', u'Foxglove poisoning', u'Gasoline poisoning', u'Gastric suction', u'Hemoglobin derivatives', u'Hydrocarbon pneumonia', u'Iodine poisoning', u'Jack-in-the-pulpit poisoning', u'Jerusalem cherry poisoning', u'Jimsonweed poisoning', u'Kerosene poisoning', u'Lighter fluid poisoning', u'Lily-of-the-valley', u'Malathion poisoning', u'Methanol test', u'Mistletoe poisoning', u'Nicotine poisoning', u'Oleander poisoning', u'Oven cleaner poisoning', u'Paradichlorobenzene poisoning', u'Paraquat poisoning', u'Philodendron poisoning', u'Poinsettia plant exposure', u'Poisoning', u'Poisoning first aid', u'Pokeweed poisoning', u'Potato poisoning - green tubers and sprouts', u'Rhubarb leaves poisoning', u'Tetrahydrozoline poisoning', u'Toilet bowl cleaners and deodorizers poisoning', u'Toxicology screen', u'Yew poisoning', u'Zinc poisoning', u'Arsenic', u'Asbestos', u'Carbon Monoxide Poisoning', u'Foodborne Illness', u'Household Products', u'Lead Poisoning', u'Mercury', u'Pesticides']"
405,Radiation Exposure,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Radiation Exposure,"[u'Accidents at Nuclear Power Plants and Cancer Risk', u'Acute Radiation Syndrome', u'Cell Phones and Cancer Risk', u'Consumer Products Containing Radioactive Materials', u'FDA Response to the Fukushima Dai-ichi Nuclear Power Facility Incident', u'Frequently Asked Questions about Cell Phones and Your Health', u'Non-Ionizing Radiation Used in Microwave Ovens', u'Radiation Exposure from Medical Exams and Procedures', u'Radiation Exposure in X-Ray and CT Examinations', u'Radiation from Cardiac Imaging Tests', u'Radionuclide Basics: Iodine', u'Radionuclide Basics: Plutonium', u'TENORM (Technologically Enhanced Naturally Occurring Radioactive Materials)', u'Hyperbaric oxygen therapy', u'Radiation sickness', u'Electromagnetic Fields', u'Radiation Emergencies', u'Radiation Therapy', u'Radon', u'Sun Exposure']"
406,Radon,National Institute of Environmental Health Sciences,"Poisoning, Toxicology, Environmental Health",Radon,[]
407,Smallpox,National Institute of Allergy and Infectious Diseases,"Poisoning, Toxicology, Environmental Health",Smallpox,"[u'Smallpox', u'Biodefense and Bioterrorism']"
408,Abdominal Pregnancy,,Pregnancy and Reproduction,Ectopic Pregnancy,"[u'D and C', u'D and C - slideshow', u'Ectopic pregnancy', u'HCG blood test - quantitative', u'Miscarriage']"
409,Abortion,,Pregnancy and Reproduction,Abortion,"[u'Medical Abortion', u'Mifeprex  (Mifepristone)  Questions and Answers', u'Abortion - medical', u'Abortion - surgical', u'Abortion - surgical - aftercare', u'D and C', u'D and C - slideshow', u'Ending pregnancy with medications']"
410,Adolescent Pregnancy,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Teenage Pregnancy,"[u'Teenage pregnancy', u'Birth Control', u'Health Problems in Pregnancy', u'Pregnancy', u'Prenatal Care', u'Teen Sexual Health']"
411,Adoption,,Pregnancy and Reproduction,Adoption,"[u'Internationally Adopted Children: Important Information for Parents', u""Travelers' Health: International Adoption""]"
412,AIDS and Pregnancy,National Institute of Allergy and Infectious Diseases,Pregnancy and Reproduction,HIV/AIDS and Pregnancy,"[u'HIV/AIDS - pregnancy and infants', u'HIV/AIDS', u'HIV/AIDS and Infections', u'HIV/AIDS Medicines', u'Living with HIV/AIDS']"
413,Alcohol Abuse in Pregnancy,National Institute on Drug Abuse,Pregnancy and Reproduction,Pregnancy and Substance Abuse,"[u'Alcohol during Pregnancy', u'CDC Vital Signs: Alcohol and Pregnancy', u'Cocaine and Pregnancy', u'Heroin and Pregnancy', u'Marijuana and Pregnancy', u'Methamphetamine/Dextroamphetamine and Pregnancy', u'Smoking During Pregnancy', u'Smoking during Pregnancy', u'Tobacco Use and Pregnancy', u'Alcohol and pregnancy', u'Infant of a substance-abusing mother', u'Neonatal abstinence syndrome', u'Fetal Alcohol Spectrum Disorders', u'Health Problems in Pregnancy']"
414,Amniocentesis,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Prenatal Testing,"[u'Amniocentesis', u'Amniotic Fluid Analysis', u'Biophysical Profile', u'Chorionic Villus Sampling (CVS)', u'Cordocentesis', u'Cystic Fibrosis: Prenatal Screening and Diagnosis', u""Fetal Echocardiography/Your Unborn Baby's Heart"", u'Fetal Ultrasound', u'First Trimester Down Syndrome Screen', u'Glucose Tests', u'Group B Streptococcus and Pregnancy', u'Obstetrical Ultrasound', u'Prenatal Cell-Free DNA Screening', u'Prenatal Genetic Diagnostic Tests', u'Prenatal Genetic Screening Tests', u'Prenatal Genetic Testing Chart', u'Prenatal Tests for Down Syndrome', u'Rh Factor Blood Test', u'Second Trimester Maternal Serum Screening', u'Special Tests for Monitoring Fetal Health', u'Alpha fetoprotein', u'Amniocentesis', u'Amniocentesis - slideshow', u'Chorionic villus sampling', u'Chorionic villus sampling - slideshow', u'Fetal echocardiography', u'Fetal-maternal erythrocyte distribution', u'Monitoring your baby before labor', u'Nuchal translucency test', u'Percutaneous umbilical cord blood sampling - slideshow', u'Pregnancy ultrasound', u'Prenatal ultrasound - slideshow', u'Quadruple screen test', u'Fetal Health and Development', u'Genetic Testing', u'Prenatal Care']"
